execution_number,timestamp,duration_ms,error,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,num_rows,run_num,source_count,table_count
153,2026-02-16T01:19:45.565795,32.21537498757243,,,7.0047080516815186,3.3620421309024096,10,10.366750182583928,,8.308958960697055,5.365333054214716,10,13.67429201491177,16,,8.170458022505045,10,10000,13,4,17
154,2026-02-16T01:19:45.611246,33.76995795406401,,,6.79212505929172,4.577291896566749,10,11.369416955858469,,10.597290936857462,4.9059579614549875,10,15.50324889831245,16,,6.8930829875171185,10,10000,14,4,17
155,2026-02-16T01:19:45.664573,40.958958910778165,,,7.715541170910001,3.3424999564886093,10,11.05804112739861,,17.45962491258979,6.155791925266385,10,23.615416837856174,16,,6.279792170971632,10,10000,15,4,17
156,2026-02-16T01:19:45.714350,33.77062501385808,,,7.308749947696924,3.689124947413802,10,10.997874895110726,,9.854832896962762,5.241249920800328,10,15.09608281776309,16,,7.672250038012862,10,10000,16,4,17
157,2026-02-16T01:19:45.763462,36.88283287920058,,,7.516041863709688,4.412708105519414,10,11.928749969229102,,12.25587516091764,5.466625094413757,10,17.722500255331397,16,,7.2260829620063305,10,10000,17,4,17
158,2026-02-16T01:19:45.811364,35.002333112061024,,,7.2954578790813684,3.811249975115061,10,11.10670785419643,,10.346000082790852,6.02849991992116,10,16.37450000271201,16,,7.516124984249473,10,10000,18,4,17
159,2026-02-16T01:19:45.861140,35.8262499794364,,,7.971958024427295,3.5353328566998243,10,11.507290881127119,,12.45983294211328,5.11074997484684,10,17.57058291696012,16,,6.743500009179115,10,10000,19,4,17
160,2026-02-16T01:19:45.908831,35.15933291055262,,,8.328167023137212,4.617500118911266,10,12.945667142048478,,10.408209171146154,4.932584008201957,10,15.340793179348111,16,,6.868917029350996,10,10000,20,4,17
161,2026-02-16T01:19:46.020283,33.411541022360325,,,7.5815420132130384,3.839875105768442,10,11.42141711898148,,8.927457965910435,6.193999899551272,10,15.121457865461707,16,,6.863457849249244,10,10000,1,8,17
162,2026-02-16T01:19:46.080163,36.878583021461964,,,8.048292016610503,3.8395829033106565,10,11.88787491992116,,13.448042096570134,5.400541936978698,10,18.848584033548832,16,,6.137874908745289,10,10000,2,8,17
163,2026-02-16T01:19:46.134988,32.586583867669106,,,6.298708962276578,4.483750090003014,10,10.782459052279592,,8.84866714477539,5.881624994799495,10,14.730292139574885,16,,7.06866686232388,10,10000,3,8,17
164,2026-02-16T01:19:46.192827,34.22170807607472,,,7.274167146533728,3.820207901299,10,11.094375047832727,,10.222833137959242,6.2600839883089066,10,16.48291712626815,16,,6.640667095780373,10,10000,4,8,17
165,2026-02-16T01:19:46.249102,33.34100008942187,,,6.774916080757976,3.960041096433997,10,10.734957177191973,,9.182916022837162,6.395375123247504,10,15.578291146084666,16,,7.023749873042107,10,10000,5,8,17
166,2026-02-16T01:19:46.306013,35.01137485727668,,,7.806791923940182,3.8724171463400126,10,11.679209070280194,,10.627292096614838,5.9354170225560665,10,16.562709119170904,16,,6.764625199139118,10,10000,6,8,17
167,2026-02-16T01:19:46.361655,33.51120790466666,,,7.229458075016737,4.779041977599263,10,12.008500052616,,10.099333012476563,5.448500160127878,10,15.547833172604442,16,,5.950417136773467,10,10000,7,8,17
168,2026-02-16T01:19:46.417752,33.86962483637035,,,6.718374788761139,3.9785830304026604,10,10.6969578191638,,9.312709094956517,6.656666984781623,10,15.96937607973814,16,,7.198916049674153,10,10000,8,8,17
169,2026-02-16T01:19:46.475408,35.440583946183324,,,8.546749828383327,3.8067910354584455,10,12.353540863841772,,10.907415999099612,6.02379092015326,10,16.931206919252872,16,,6.151000037789345,10,10000,9,8,17
170,2026-02-16T01:19:46.530414,32.898041885346174,,,7.08645791746676,4.096457967534661,10,11.182915885001421,,9.918291820213199,5.541166989132762,10,15.45945880934596,16,,6.251374958083034,10,10000,10,8,17
171,2026-02-16T01:19:46.589373,37.51558414660394,,,8.094915887340903,4.566834075376391,10,12.661749962717295,,11.304790852591395,6.046083988621831,10,17.350874841213226,16,,7.4967918917536736,10,10000,11,8,17
172,2026-02-16T01:19:46.650044,34.52058299444616,,,6.357833044603467,3.877582959830761,10,10.235416004434228,,9.027707856148481,6.590165896341205,10,15.617873752489686,16,,8.662415901198983,10,10000,12,8,17
173,2026-02-16T01:19:46.709749,37.149582989513874,,,8.719333913177252,3.7561669014394283,10,12.47550081461668,,11.40170800499618,6.3097497913986444,10,17.711457796394825,16,,6.957999896258116,10,10000,13,8,17
174,2026-02-16T01:19:46.764868,33.04662508890033,,,7.164082955569029,4.124790895730257,10,11.288873851299286,,9.120667120441794,5.717334104701877,10,14.838001225143671,16,,6.914708064869046,10,10000,14,8,17
175,2026-02-16T01:19:46.841306,53.87941584922373,,,8.276209002360702,22.220625076442957,10,30.49683407880366,,10.44720783829689,5.615083035081625,10,16.062290873378515,16,,7.3154999408870935,10,10000,15,8,17
176,2026-02-16T01:19:46.898117,33.85045914910734,,,6.955957971513271,4.000375047326088,10,10.95633301883936,,9.660500101745129,6.355499848723412,10,16.01599995046854,16,,6.874124985188246,10,10000,16,8,17
177,2026-02-16T01:19:46.955751,35.44541681185365,,,7.502583088353276,3.7552500143647194,10,11.257833102717996,,10.570958023890853,6.371749797835946,10,16.9427078217268,16,,7.23979203030467,10,10000,17,8,17
178,2026-02-16T01:19:47.011574,33.17066701129079,,,7.2470419108867645,3.995792008936405,10,11.24283391982317,,10.091625154018402,5.4572089575231075,10,15.54883411154151,16,,6.375083001330495,10,10000,18,8,17
179,2026-02-16T01:19:47.067704,33.55549997650087,,,6.5695419907569885,4.512291867285967,10,11.081833858042955,,9.222583146765828,5.849790992215276,10,15.072374138981104,16,,7.3974160477519035,10,10000,19,8,17
180,2026-02-16T01:19:47.125777,35.35745898261666,,,8.73162504285574,3.8361249025911093,10,12.567749945446849,,10.47383388504386,6.315417122095823,10,16.789251007139683,16,,5.996959051117301,10,10000,20,8,17
181,2026-02-16T01:19:47.291621,39.79395795613527,,,9.584000101312995,4.807916935533285,10,14.39191703684628,,11.03741698898375,7.282833103090525,10,18.320250092074275,16,,7.076999871060252,10,10000,1,16,17
182,2026-02-16T01:19:47.376076,40.89633305557072,,,9.26583306863904,4.789832979440689,10,14.055666048079729,,11.568457819521427,7.141124922782183,10,18.70958274230361,16,,8.125291904434562,10,10000,2,16,17
183,2026-02-16T01:19:47.459711,40.220958879217505,,,8.50720889866352,4.6903330367058516,10,13.197541935369372,,12.449624948203564,7.307125022634864,10,19.756749970838428,16,,7.262167055159807,10,10000,3,16,17
184,2026-02-16T01:19:47.540784,37.91445796377957,,,8.855083025991917,4.675582982599735,10,13.530666008591652,,10.211792076006532,7.1055840235203505,10,17.317376099526882,16,,7.062333170324564,10,10000,4,16,17
185,2026-02-16T01:19:47.620518,36.618208047002554,,,7.4886668007820845,4.751415923237801,10,12.240082724019885,,9.710000129416585,7.696291198953986,10,17.40629132837057,16,,6.96629099547863,10,10000,5,16,17
186,2026-02-16T01:19:47.700428,36.097791977226734,,,7.396333152428269,5.106833064928651,10,12.50316621735692,,9.752833982929587,7.327375002205372,10,17.08020898513496,16,,6.509291008114815,10,10000,6,16,17
187,2026-02-16T01:19:47.781172,37.244874984025955,,,8.621999993920326,5.021499935537577,10,13.643499929457903,,10.069458046928048,7.237458135932684,10,17.306916182860732,16,,6.290082819759846,10,10000,7,16,17
188,2026-02-16T01:19:47.862859,38.533875020220876,,,8.392834104597569,4.671000177040696,10,13.063834281638265,,12.196207884699106,6.985709071159363,10,19.18191695585847,16,,6.283750059083104,10,10000,8,16,17
189,2026-02-16T01:19:47.963451,57.72591708227992,,,9.173583937808871,4.715666873380542,10,13.889250811189413,,11.01070805452764,26.47391683422029,10,37.48462488874793,16,,6.347208982333541,10,10000,9,16,17
190,2026-02-16T01:19:48.044521,38.23375003412366,,,9.844959015026689,4.661584040150046,10,14.506543055176735,,10.86829206906259,6.952541880309582,10,17.820833949372172,16,,5.902458913624287,10,10000,10,16,17
191,2026-02-16T01:19:48.126110,38.66691701114178,,,8.972999872639775,4.608541959896684,10,13.581541832536459,,10.96020801924169,6.959459045901895,10,17.919667065143585,16,,7.160834036767483,10,10000,11,16,17
192,2026-02-16T01:19:48.208344,38.6114998254925,,,9.072709130123258,4.688875051215291,10,13.761584181338549,,10.528499959036708,7.0888749323785305,10,17.61737489141524,16,,7.227707887068391,10,10000,12,16,17
193,2026-02-16T01:19:48.291635,40.875500068068504,,,9.639832889661193,4.790083039551973,10,14.429915929213166,,11.03125000372529,7.2234999388456345,10,18.254749942570925,16,,8.186500053852797,10,10000,13,16,17
194,2026-02-16T01:19:48.372025,37.62291697785258,,,7.725124945864081,4.678917117416859,10,12.40404206328094,,9.987124940380454,7.595916045829654,10,17.583040986210108,16,,7.628583116456866,10,10000,14,16,17
195,2026-02-16T01:19:48.450340,35.73045879602432,,,7.168375188484788,4.9036669079214334,10,12.072042096406221,,9.753291960805655,7.60045787319541,10,17.353749834001064,16,,6.2994579784572124,10,10000,15,16,17
196,2026-02-16T01:19:48.529853,36.1011668574065,,,8.073542034253478,4.812834085896611,10,12.88637612015009,,10.03883290104568,7.131500169634819,10,17.1703330706805,16,,6.039832951501012,10,10000,16,16,17
197,2026-02-16T01:19:48.613249,40.73441703803837,,,9.000167017802596,4.79662511497736,10,13.796792132779956,,13.033375144004822,6.880209082737565,10,19.913584226742387,16,,7.020208984613419,10,10000,17,16,17
198,2026-02-16T01:19:48.696410,39.684624876827,,,9.712208062410355,4.775499925017357,10,14.487707987427711,,11.429124977439642,6.874334067106247,10,18.30345904454589,16,,6.8895830772817135,10,10000,18,16,17
199,2026-02-16T01:19:48.778487,38.742165779694915,,,8.077624952420592,4.762459080666304,10,12.840084033086896,,12.081917142495513,6.971917115151882,10,19.053834257647395,16,,6.844125222414732,10,10000,19,16,17
200,2026-02-16T01:19:48.861696,39.075082866474986,,,8.557667024433613,4.726832965388894,10,13.284499989822507,,12.171874986961484,6.985458079725504,10,19.157333066686988,16,,6.629291921854019,10,10000,20,16,17
201,2026-02-16T01:19:49.014965,60.843042097985744,,,12.700916035100818,5.592083092778921,10,18.29299912787974,,20.528957946226,9.208708070218563,10,29.737666016444564,32,,12.808874947950244,10,10000,1,2,33
202,2026-02-16T01:19:49.083089,61.5746658295393,,,13.249041978269815,5.719291977584362,10,18.968333955854177,,20.13262500986457,8.991040987893939,10,29.123665997758508,32,,13.476999942213297,10,10000,2,2,33
203,2026-02-16T01:19:49.152231,62.61466699652374,,,13.486000010743737,5.9832080733031034,10,19.46920808404684,,21.481750067323446,9.095582878217101,10,30.577332945540547,32,,12.562749907374382,10,10000,3,2,33
204,2026-02-16T01:19:49.219100,60.15637516975403,,,13.549125054851174,6.179791875183582,10,19.728916930034757,,19.472749903798103,8.42545903287828,10,27.898208936676383,32,,12.523417128250003,10,10000,4,2,33
205,2026-02-16T01:19:49.289684,63.87325003743172,,,14.173457864671946,6.462957942858338,10,20.636415807530284,,21.060916827991605,8.677209028974175,10,29.73812585696578,32,,13.493125094100833,10,10000,5,2,33
206,2026-02-16T01:19:49.360121,63.77566698938608,,,13.96258408203721,5.313874920830131,10,19.27645900286734,,21.932167001068592,8.74566612765193,10,30.677833128720522,32,,13.815958984196186,10,10000,6,2,33
207,2026-02-16T01:19:49.429712,63.34616616368294,,,14.564416836947203,5.305790808051825,10,19.870207644999027,,20.29674989171326,9.42675000987947,10,29.72349990159273,32,,13.747749850153923,10,10000,7,2,33
