execution_number,timestamp,duration_ms,error,base_aggregate_columns,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_fanout,policy_column_count,query_type,row_count,run_num,variation_base_aggregate_columns,variation_join_fanout,variation_policy_columns,variation_row_count
99,2026-02-16T01:15:07.813906,16.465833876281977,,128,,True,,8.129999972879887,7.268915884196758,1,15.398915857076645,,8.33583390340209,9.360000025480986,1,17.695833928883076,2,32,PHASE_COMPETITION,10000,19,128,2,32,10000
100,2026-02-16T01:15:07.857682,17.120624892413616,,128,,True,,8.328541880473495,6.6135418601334095,1,14.942083740606904,,8.792083011940122,8.418292040005326,1,17.210375051945448,2,32,PHASE_COMPETITION,10000,20,128,2,32,10000
101,2026-02-16T01:15:07.964158,18.89308402314782,,128,,True,,9.716209024190903,8.394750067964196,1,18.1109590921551,,9.176874998956919,11.2958331592381,1,20.47270815819502,2,64,PHASE_COMPETITION,10000,1,128,2,64,10000
102,2026-02-16T01:15:08.035070,18.265749793499708,,128,,True,,8.963207947090268,8.689749985933304,1,17.652957933023572,,9.30254184640944,29.565125005319715,1,38.867666851729155,2,64,PHASE_COMPETITION,10000,2,128,2,64,10000
103,2026-02-16T01:15:08.089367,20.137707935646176,,128,,True,,9.931707987561822,9.140374837443233,1,19.072082825005054,,10.205999948084354,10.966874891892076,1,21.17287483997643,2,64,PHASE_COMPETITION,10000,3,128,2,64,10000
104,2026-02-16T01:15:08.142031,19.684959203004837,,128,,True,,10.566417127847672,8.222792064771056,1,18.789209192618728,,9.118542075157166,10.570290964096785,1,19.68883303925395,2,64,PHASE_COMPETITION,10000,4,128,2,64,10000
105,2026-02-16T01:15:08.195338,18.99008289910853,,128,,True,,10.315957944840193,8.86354106478393,1,19.179499009624124,,8.674124954268336,10.4523750487715,1,19.126500003039837,2,64,PHASE_COMPETITION,10000,5,128,2,64,10000
106,2026-02-16T01:15:08.249216,20.194333977997303,,128,,True,,10.559417074546218,8.81379097700119,1,19.373208051547408,,9.634916903451085,11.00633293390274,1,20.641249837353826,2,64,PHASE_COMPETITION,10000,6,128,2,64,10000
107,2026-02-16T01:15:08.300800,17.656167037785053,,128,,True,,8.670957991853356,8.601083885878325,1,17.27204187773168,,8.985209045931697,10.568042052909732,1,19.55325109884143,2,64,PHASE_COMPETITION,10000,7,128,2,64,10000
108,2026-02-16T01:15:08.372404,20.393583923578262,,128,,True,,10.156374890357256,9.026583982631564,1,19.18295887298882,,10.237209033221006,27.680583065375686,1,37.91779209859669,2,64,PHASE_COMPETITION,10000,8,128,2,64,10000
109,2026-02-16T01:15:08.427690,20.8852079231292,,128,,True,,10.881124995648861,8.823083015158772,1,19.704208010807633,,10.00408292748034,11.0168750397861,1,21.02095796726644,2,64,PHASE_COMPETITION,10000,9,128,2,64,10000
110,2026-02-16T01:15:08.483958,21.09883399680257,,128,,True,,11.408583959564567,8.416041964665055,1,19.824625924229622,,9.690250037238002,11.788957985118032,1,21.479208022356033,2,64,PHASE_COMPETITION,10000,10,128,2,64,10000
111,2026-02-16T01:15:08.608423,38.40887499973178,,128,,True,,20.76058299280703,12.060249922797084,1,32.820832915604115,,17.64829200692475,54.68770791776478,1,72.33599992468953,2,64,PHASE_COMPETITION,10000,11,128,2,64,10000
112,2026-02-16T01:15:08.673863,23.240876151248813,,128,,True,,11.442667106166482,10.043791960924864,1,21.486459067091346,,11.79820904508233,15.191416023299098,1,26.98962506838143,2,64,PHASE_COMPETITION,10000,12,128,2,64,10000
113,2026-02-16T01:15:08.753725,20.21266706287861,,128,,True,,10.359707986935973,9.450249839574099,1,19.80995782651007,,9.852959075942636,32.47037506662309,1,42.32333414256573,2,64,PHASE_COMPETITION,10000,13,128,2,64,10000
114,2026-02-16T01:15:08.805594,18.376083113253117,,128,,True,,9.451000019907951,8.642832981422544,1,18.093833001330495,,8.925083093345165,10.365208145231009,1,19.290291238576174,2,64,PHASE_COMPETITION,10000,14,128,2,64,10000
115,2026-02-16T01:15:08.860257,20.30112501233816,,128,,True,,10.926166083663702,8.997792145237327,1,19.92395822890103,,9.37495892867446,10.517749935388565,1,19.892708864063025,2,64,PHASE_COMPETITION,10000,15,128,2,64,10000
