execution_number,timestamp,duration_ms,error,correctness_1phase_error,correctness_1phase_match,correctness_2phase_error,correctness_2phase_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,run_num,source_count,tpch_sf
40,2026-03-01T00:30:51.309120,286.34545812383294,,,1,,1,,81.28316700458527,2.700833138078451,4,83.98400014266372,,123.13612503930926,3.7587913684546947,4,126.89491640776396,3,,75.45983325690031,4,5,2,1.0
41,2026-03-01T00:30:51.903760,286.6852502338588,,,1,,1,,80.2874593064189,3.6494997330009937,4,83.93695903941989,,125.2101669088006,3.902750089764595,4,129.1129169985652,3,,73.62966611981392,4,1,3,1.0
42,2026-03-01T00:30:52.201568,287.6967079937458,,,1,,1,,82.14379195123911,2.70175002515316,4,84.84554197639227,,124.63391618803144,3.929666243493557,4,128.563582431525,3,,74.28375026211143,4,2,3,1.0
43,2026-03-01T00:30:52.503470,292.05500008538365,,,1,,1,,83.59533315524459,2.7758749201893806,4,86.37120807543397,,126.92874995991588,4.624166060239077,4,131.55291602015495,3,,74.12520842626691,4,3,3,1.0
44,2026-03-01T00:30:52.803639,290.026250295341,,,1,,1,,84.16200010105968,2.809791825711727,4,86.9717919267714,,124.55900013446808,4.159000236541033,4,128.7180003710091,3,,74.33199975639582,4,4,3,1.0
45,2026-03-01T00:30:53.104040,290.0189580395818,,,1,,1,,84.01054190471768,2.9520420357584953,4,86.96258394047618,,124.03654120862484,4.225416108965874,4,128.2619573175907,3,,74.78945888578892,4,5,3,1.0
46,2026-03-01T00:30:53.721630,301.2003330513835,,,1,,1,,90.08474973961711,2.924417145550251,4,93.00916688516736,,125.53949980065227,4.349166993051767,4,129.88866679370403,3,,78.29749956727028,4,1,4,1.0
47,2026-03-01T00:30:54.053369,318.5595409013331,,,1,,1,,105.32308276742697,3.2535409554839134,4,108.57662372291088,,127.65812501311302,4.841958172619343,4,132.50008318573236,3,,77.47675012797117,4,2,4,1.0
48,2026-03-01T00:30:54.370974,304.2632918804884,,,1,,1,,91.82462468743324,3.044125158339739,4,94.86874984577298,,125.41808327659965,4.3987915851175785,4,129.81687486171722,3,,79.57200007513165,4,3,4,1.0
49,2026-03-01T00:30:54.676489,291.42395919188857,,,1,,1,,86.34912502020597,2.939291764050722,4,89.2884167842567,,121.96845887228847,4.0128338150680065,4,125.98129268735647,3,,76.14904129877687,4,4,4,1.0
