execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_error,umbra_rows,umbra_time_ms
33,2026-02-03T20:11:32.437130,49.50216691941023,,,True,,5.121709080412984,2.3982077836990356,2,7.5199168641120195,,8.155792020261288,6.644916953518987,2,14.800708973780274,,4.941083025187254,2,4.941083025187254,q08,8,0.1,,True,,2,22.24045805633068
34,2026-02-03T20:11:32.486914,46.09337612055242,,,True,,7.8528341837227345,1.8047920893877745,175,9.657626273110509,,12.102250009775162,6.07762485742569,175,18.17987486720085,,7.414666935801506,175,7.414666935801506,q09,9,0.1,,True,,175,10.841208044439554
35,2026-02-03T20:11:32.542262,52.156499586999416,,,True,,7.828583009541035,3.7990000564604998,20,11.627583066001534,,14.75199987180531,4.326999885961413,20,19.078999757766724,,9.385832818225026,20,9.385832818225026,q10,10,0.1,,True,,20,12.064083945006132
36,2026-02-03T20:11:32.573000,27.45066676288843,,,True,,4.499417031183839,1.6798328142613173,2,6.179249845445156,,6.453583016991615,3.9863749407231808,2,10.439957957714796,,3.526541870087385,2,3.526541870087385,q12,12,0.1,,True,,2,7.304917089641094
37,2026-02-03T20:11:32.591263,15.200708759948611,,,True,,1.8894169479608536,1.3129590079188347,1,3.2023759558796883,,3.2486249692738056,2.6364580262452364,1,5.885082995519042,,1.922624884173274,1,1.922624884173274,q14,14,0.1,,True,,1,4.190624924376607
38,2026-02-03T20:11:32.650526,56.00724904797971,,,True,,7.979582995176315,4.1567080188542604,5,12.136291014030576,,13.337082928046584,3.7211249582469463,5,17.05820788629353,,6.507041165605187,5,6.507041165605187,q18,18,0.1,,True,,5,20.30570898205042
39,2026-02-03T20:11:32.681802,27.970958035439253,,,True,,3.972624894231558,2.756916917860508,1,6.729541812092066,,6.536833010613918,6.157875061035156,1,12.694708071649075,,3.7240830715745687,1,3.7240830715745687,q19,19,0.1,,True,,1,4.822625080123544
40,2026-02-03T20:11:32.729093,44.114291900768876,,,True,,5.014792084693909,1.6029169782996178,4,6.6177090629935265,,13.034666888415813,3.7004579789936543,4,16.735124867409468,,4.70483279787004,4,4.70483279787004,q01,1,0.1,,True,,4,16.056625172495842
41,2026-02-03T20:11:32.771316,39.07128982245922,,,True,,4.852999933063984,3.8400001358240843,10,8.693000068888068,,10.853083105757833,3.597040893509984,10,14.450123999267817,,4.104999825358391,10,4.104999825358391,q03,3,0.1,,True,,10,11.823165928944945
42,2026-02-03T20:11:32.812022,37.378124659880996,,,True,,5.8524159248918295,2.3972089402377605,5,8.24962486512959,,19.927209010347724,2.64224992133677,5,22.569458931684494,,4.284458002075553,5,4.284458002075553,q04,4,0.1,,True,,5,2.2745828609913588
43,2026-02-03T20:11:32.842143,26.640168158337474,,,True,,4.85558295622468,1.7881670501083136,5,6.6437500063329935,,7.596082985401154,4.00966708548367,5,11.605750070884824,,4.988084081560373,5,4.988084081560373,q05,5,0.1,,True,,5,3.4025839995592833
44,2026-02-03T20:11:32.853350,7.924207951873541,,,True,,0.8590409997850657,1.0155420750379562,1,1.8745830748230219,,1.8547498621046543,2.1447499748319387,1,3.999499836936593,,0.8151249494403601,1,0.8151249494403601,q06,6,0.1,,True,,1,1.2350000906735659
45,2026-02-03T20:11:32.893069,36.7514172103256,,,True,,6.452500121667981,2.5502920616418123,4,9.002792183309793,,7.977457949891686,8.230667095631361,4,16.208125045523047,,7.096375105902553,4,7.096375105902553,q07,7,0.1,,True,,4,4.444124875590205
46,2026-02-03T20:11:32.936365,40.13516614213586,,,True,,5.435833008959889,2.3716671857982874,2,7.807500194758177,,7.595999864861369,7.062541088089347,2,14.658540952950716,,5.5853750091046095,2,5.5853750091046095,q08,8,0.1,,True,,2,12.083749985322356
47,2026-02-03T20:11:32.979703,39.77199969813228,,,True,,7.5300829485058784,1.8220830243080854,175,9.352165972813964,,11.277208803221583,5.4835418704897165,175,16.7607506737113,,7.475374964997172,175,7.475374964997172,q09,9,0.1,,True,,175,6.18370808660984
48,2026-02-03T20:11:33.029200,46.146459178999066,,,True,,9.503500070422888,4.6788330655545,20,14.182333135977387,,14.670958975329995,4.620542051270604,20,19.2915010266006,,8.709250018000603,20,8.709250018000603,q10,10,0.1,,True,,20,3.963374998420477
49,2026-02-03T20:11:33.055545,23.001333232969046,,,True,,3.696792060509324,1.7640830483287573,2,5.460875108838081,,5.962667055428028,4.183791112154722,2,10.14645816758275,,3.57670895755291,2,3.57670895755291,q12,12,0.1,,True,,2,3.817290998995304
50,2026-02-03T20:11:33.073073,14.42116522230208,,,True,,2.4105000775307417,1.5492918901145458,1,3.9597919676452875,,2.743791090324521,2.6594160590320826,1,5.403207149356604,,1.7517500091344118,1,1.7517500091344118,q14,14,0.1,,True,,1,3.3064160961657763
51,2026-02-03T20:11:33.149857,73.8155827857554,,,True,,7.354958914220333,3.8213750813156366,5,11.17633399553597,,11.989040998741984,3.8779578171670437,5,15.866998815909028,,6.291958037763834,5,6.291958037763834,q18,18,0.1,,True,,5,40.480291936546564
52,2026-02-03T20:11:33.186181,30.152165796607733,,,True,,4.392917035147548,3.564832964912057,1,7.957750000059605,,7.396666798740625,6.240291055291891,1,13.636957854032516,,4.131790949031711,1,4.131790949031711,q19,19,0.1,,True,,1,4.425666993483901
53,2026-02-03T20:11:33.231998,42.384790955111384,,,True,,4.495042143389583,1.5718340873718262,4,6.066876230761409,,12.349165976047516,3.8273329846560955,4,16.17649896070361,,4.862499888986349,4,4.862499888986349,q01,1,0.1,,True,,4,15.278915874660015
54,2026-02-03T20:11:33.260396,25.130874942988157,,,True,,4.784957971423864,3.1860407907515764,10,7.970998762175441,,6.417334079742432,3.7522499915212393,10,10.169584071263671,,4.2365421541035175,10,4.2365421541035175,q03,3,0.1,,True,,10,2.753749955445528
55,2026-02-03T20:11:33.311231,47.57641698233783,,,True,,4.279792075976729,3.0445000156760216,5,7.324292091652751,,18.04212504066527,2.395582851022482,5,20.43770789168775,,3.912291955202818,5,3.912291955202818,q04,4,0.1,,True,,5,15.902125043794513
56,2026-02-03T20:11:33.340776,26.374625973403454,,,True,,4.730124957859516,1.763415988534689,5,6.493540946394205,,7.499750005081296,4.123209044337273,5,11.622959049418569,,3.96170886233449,5,3.96170886233449,q05,5,0.1,,True,,5,4.29641711525619
57,2026-02-03T20:11:33.354278,10.282875970005989,,,True,,0.8330000564455986,1.02937500923872,1,1.8623750656843185,,1.5220418572425842,2.016125014051795,1,3.5381668712943792,,0.9829590562731028,1,0.9829590562731028,q06,6,0.1,,True,,1,3.8993749767541885
58,2026-02-03T20:11:33.396718,39.50662515126169,,,True,,6.285208044573665,2.5039170868694782,4,8.789125131443143,,7.9401659313589334,7.503833156079054,4,15.443999087437987,,6.379167083650827,4,6.379167083650827,q07,7,0.1,,True,,4,8.89433384872973
59,2026-02-03T20:11:33.450867,51.01875006221235,,,True,,6.082291016355157,2.2787919733673334,2,8.36108298972249,,7.731040939688683,7.579292170703411,2,15.310333110392094,,5.33262500539422,2,5.33262500539422,q08,8,0.1,,True,,2,22.014708956703544
60,2026-02-03T20:11:33.497146,42.62637416832149,,,True,,7.297333097085357,1.7905829008668661,175,9.087915997952223,,11.576875112950802,5.365458084270358,175,16.94233319722116,,7.9695419408380985,175,7.9695419408380985,q09,9,0.1,,True,,175,8.626583032310009
61,2026-02-03T20:11:33.550806,50.37662503309548,,,True,,9.363500168547034,4.043875029310584,20,13.407375197857618,,14.312166953459382,4.9962918274104595,20,19.30845878086984,,9.277375182136893,20,9.277375182136893,q10,10,0.1,,True,,20,8.383415872231126
62,2026-02-03T20:11:33.579181,25.190833024680614,,,True,,4.022208042442799,1.775457989424467,2,5.797666031867266,,6.1295421328395605,3.856333903968334,2,9.985876036807895,,3.990708151832223,2,3.990708151832223,q12,12,0.1,,True,,2,5.416582804173231
63,2026-02-03T20:11:33.596357,14.041957911103964,,,True,,1.8168329261243343,1.3657079543918371,1,3.1825408805161715,,2.7783329132944345,2.732750028371811,1,5.5110829416662455,,1.8128340598195791,1,1.8128340598195791,q14,14,0.1,,True,,1,3.535500029101968
64,2026-02-03T20:11:33.655473,56.06387252919376,,,True,,8.621874963864684,3.7600828800350428,5,12.381957843899727,,12.996665900573134,3.732415847480297,5,16.72908174805343,,6.7809580359607935,5,6.7809580359607935,q18,18,0.1,,True,,5,20.171874901279807
65,2026-02-03T20:11:33.688810,30.081833945587277,,,True,,3.560874843969941,2.810792066156864,1,6.371666910126805,,7.220915984362364,6.70104194432497,1,13.921957928687334,,3.826417028903961,1,3.826417028903961,q19,19,0.1,,True,,1,5.961792077869177
