execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,query_name,query_num,tpch_sf
31,2026-02-15T19:02:56.436135,135.7246241532266,,,True,,14.077540952712297,2.6942919939756393,2,16.771832946687937,,24.052249966189265,True,,4.0494161657989025,2,28.101666131988168,,46.285832999274135,7.175000151619315,2,53.46083315089345,,13.151832856237888,2,13.151832856237888,19.10341694019735,,5.135042127221823,4.596500191837549,2,24.23845906741917,24.23845906741917,q08,8,1.0
32,2026-02-15T19:02:56.595726,132.39837693981826,,,True,,12.58820784278214,3.8459578063338995,2,16.43416564911604,,25.612167082726955,True,,3.890334162861109,2,29.502501245588064,,43.47599996253848,7.3546250350773335,2,50.830624997615814,,11.994834057986736,2,11.994834057986736,18.276958959177136,,5.359292030334473,5.04058413207531,2,23.63625098951161,23.63625098951161,q08,8,1.0
33,2026-02-15T19:02:56.774993,150.7817895617336,,,True,,14.784583821892738,2.386957872658968,2,17.171541694551706,,27.939541032537818,True,,4.260583082213998,2,32.200124114751816,,45.24479084648192,7.374749984592199,2,52.61954083107412,,14.27866704761982,2,14.27866704761982,21.791040897369385,,12.720874976366758,6.327458191663027,2,34.51191587373614,34.51191587373614,q08,8,1.0
34,2026-02-15T19:02:56.949817,145.81495989114046,,,True,,15.008917078375816,2.360624959692359,2,17.369542038068175,,26.542500127106905,True,,4.28141700103879,2,30.823917128145695,,48.86145796626806,6.908791838213801,2,55.770249804481864,,16.88479189760983,2,16.88479189760983,18.89199996367097,,6.074459059163928,4.670416936278343,2,24.966459022834897,24.966459022834897,q08,8,1.0
35,2026-02-15T19:02:57.113271,135.9033326152712,,,True,,13.765207957476377,2.486207988113165,2,16.251415945589542,,24.849249981343746,True,,4.56379191018641,2,29.413041891530156,,47.197707928717136,6.973166950047016,2,54.17087487876415,,13.751375023275614,2,13.751375023275614,16.913499915972352,,5.403124960139394,4.772125044837594,2,22.316624876111746,22.316624876111746,q08,8,1.0
36,2026-02-15T19:04:23.593480,29890.055792639032,,,True,,140.0638329796493,3.0075418762862682,175,143.07137485593557,,94.23516690731049,True,,3.036750014871359,175,97.27191692218184,,28834.725708002225,5.846333922818303,175,28840.572041925043,,160.26733396574855,175,160.26733396574855,596.6851250268519,,52.18799994327128,21.967249922454357,175,648.8731249701232,648.8731249701232,q09,9,1.0
37,2026-02-15T19:04:57.224807,33496.02337554097,,,True,,517.4628752283752,10.86195814423263,175,528.3248333726078,,90.25900019332767,True,,2.811749931424856,175,93.07075012475252,,32199.367499910295,6.914875004440546,175,32206.282374914736,,418.941417010501,175,418.941417010501,207.14400010183454,,42.26000001654029,8.243917021900415,175,249.40400011837482,249.40400011837482,q09,9,1.0
38,2026-02-15T19:05:51.464943,54099.817293928936,,,True,,138.00308294594288,10.208209045231342,175,148.21129199117422,,84.14079202339053,True,,4.462666809558868,175,88.6034588329494,,53460.480000125244,6.028166972100735,175,53466.508167097345,,141.71470887959003,175,141.71470887959003,218.53600000031292,,36.24366712756455,6.320375017821789,175,254.77966712787747,254.77966712787747,q09,9,1.0
39,2026-02-15T19:06:11.428203,19870.528543367982,,,True,,214.3597500398755,10.033875005319715,175,224.39362504519522,,76.19579206220806,True,,3.716584062203765,175,79.91237612441182,,19226.20258294046,7.7870839741081,175,19233.989666914567,,169.95962522923946,175,169.95962522923946,131.82508293539286,,30.448167119175196,4.446125123649836,175,162.27325005456805,162.27325005456805,q09,9,1.0
40,2026-02-15T19:06:31.544719,20032.129043946043,,,True,,58.17716708406806,4.032084019854665,175,62.209251103922725,,71.9212091062218,True,,2.7903339359909296,175,74.71154304221272,,19669.053124962375,5.650208098813891,175,19674.70333306119,,59.6624999307096,175,59.6624999307096,128.67262493818998,,32.169791869819164,4.43079206161201,175,160.84241680800915,160.84241680800915,q09,9,1.0
41,2026-02-15T19:06:32.470056,177.7177480980754,,,True,,26.197582948952913,4.017791943624616,20,30.21537489257753,,39.719375083222985,True,,4.103624960407615,20,43.8230000436306,,38.203957956284285,5.138166015967727,20,43.34212397225201,,24.589833104982972,20,24.589833104982972,31.708583002910018,,4.0388330817222595,5.161707988008857,20,35.74741608463228,35.74741608463228,q10,10,1.0
42,2026-02-15T19:06:32.673084,172.04487649723887,,,True,,23.685166845098138,3.8212500512599945,20,27.506416896358132,,38.486541947349906,True,,4.06495900824666,20,42.551500955596566,,36.14004096016288,5.154999904334545,20,41.29504086449742,,22.962083807215095,20,22.962083807215095,33.7977500166744,,3.9320839568972588,3.3643750939518213,20,37.72983397357166,37.72983397357166,q10,10,1.0
43,2026-02-15T19:06:32.872728,174.30954286828637,,,True,,24.136041989549994,3.768624970689416,20,27.90466696023941,,39.413458900526166,True,,3.5556249786168337,20,42.969083879143,,36.331333918496966,5.848292028531432,20,42.1796259470284,,22.696624975651503,20,22.696624975651503,34.7457081079483,,3.813832998275757,3.3972079399973154,20,38.55954110622406,38.55954110622406,q10,10,1.0
44,2026-02-15T19:06:33.068179,169.47779129259288,,,True,,24.528207955881953,3.8297921419143677,20,28.35800009779632,,38.38320798240602,True,,3.545040963217616,20,41.928248945623636,,36.73054208047688,5.098334047943354,20,41.828876128420234,,22.52812497317791,20,22.52812497317791,30.844875145703554,,3.989666001871228,3.928250167518854,20,34.83454114757478,34.83454114757478,q10,10,1.0
45,2026-02-15T19:06:33.268326,174.49662508442998,,,True,,24.215416982769966,3.7925830110907555,20,28.00799999386072,,39.588291896507144,True,,3.4115829039365053,20,42.99987480044365,,37.508999928832054,5.203625187277794,20,42.71262511610985,,22.393833147361875,20,22.393833147361875,34.63866701349616,,3.7436250131577253,3.3720829524099827,20,38.382292026653886,38.382292026653886,q10,10,1.0
